Date,Open,High,Low,Close,listingId,name
2020-09-14 01:00:00,10232.3152,10250.8862,10164.3155,10164.3155,"1356351,102,608",INDICE MASI
2020-09-15 01:00:00,10164.3155,10251.1286,10128.6544,10128.7825,"1356351,102,608",INDICE MASI
2020-09-16 01:00:00,10128.5903,10169.6637,10098.238,10101.0597,"1356351,102,608",INDICE MASI
2020-09-17 01:00:00,10101.0597,10127.4973,10064.3049,10064.3154,"1356351,102,608",INDICE MASI
2020-09-18 01:00:00,10064.3154,10094.3109,10056.7243,10084.2109,"1356351,102,608",INDICE MASI
2020-09-21 01:00:00,10057.3769,10143.6112,10057.3769,10122.5862,"1356351,102,608",INDICE MASI
2020-09-22 01:00:00,10122.5862,10136.2624,10097.0253,10119.5252,"1356351,102,608",INDICE MASI
2020-09-23 01:00:00,10119.5252,10141.6341,10087.5973,10102.6539,"1356351,102,608",INDICE MASI
2020-09-24 01:00:00,10102.6539,10102.6539,9995.3393,9995.3393,"1356351,102,608",INDICE MASI
2020-09-25 01:00:00,9995.3393,10038.0055,9948.5771,9952.6267,"1356351,102,608",INDICE MASI
2020-09-28 01:00:00,9952.6267,9991.8259,9936.4831,9991.2083,"1356351,102,608",INDICE MASI
2020-09-29 01:00:00,9991.2083,10037.5561,9986.7936,9987.0592,"1356351,102,608",INDICE MASI
2020-09-30 01:00:00,9987.0592,10008.8521,9961.7462,9987.8303,"1356351,102,608",INDICE MASI
2020-10-01 01:00:00,9985.4816,10012.9211,9985.4486,10012.9211,"1356351,102,608",INDICE MASI
2020-10-02 01:00:00,10012.9211,10086.0856,9995.6257,10086.0856,"1356351,102,608",INDICE MASI
2020-10-05 01:00:00,10086.0856,10114.3276,10068.0979,10106.4259,"1356351,102,608",INDICE MASI
2020-10-06 01:00:00,10106.4259,10173.2247,10102.32,10173.2247,"1356351,102,608",INDICE MASI
2020-10-07 01:00:00,10173.2247,10216.1683,10173.2068,10207.0006,"1356351,102,608",INDICE MASI
2020-10-08 01:00:00,10207.0006,10207.1056,10168.4946,10177.1722,"1356351,102,608",INDICE MASI
2020-10-09 01:00:00,10177.1722,10206.2784,10152.6997,10205.8478,"1356351,102,608",INDICE MASI
2020-10-12 01:00:00,10205.8478,10233.3794,10193.0442,10204.048,"1356351,102,608",INDICE MASI
2020-10-13 01:00:00,10204.048,10232.448,10204.048,10232.448,"1356351,102,608",INDICE MASI
2020-10-14 01:00:00,10232.448,10388.3438,10232.4002,10385.6646,"1356351,102,608",INDICE MASI
2020-10-15 01:00:00,10385.6646,10426.4393,10345.7623,10373.7664,"1356351,102,608",INDICE MASI
